match_tier,field_name,parcelnumb,unidata_scity,unidata_value,gpkg_value,comparison
pair,yearbuilt,01507009,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01507015,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01507018,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01507019,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01507019,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01507021,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01507021,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01508001,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01508002,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01508006,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01508006,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01508009,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01508009,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01508010,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01509001,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01509001,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01509002,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01509002,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01509003,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01509006,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01510003,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01510006,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01510007,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01510008,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01510008,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01510009,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01510009,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01510010,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01511003,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01511006,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01511033,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01511056,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01511068,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01511091,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01511094,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01511100,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01511104,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01511105,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01511106,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01511109,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01511122,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01512007,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01512008,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01512012,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01512013,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01512019,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01512023,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01512027,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01512032,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01512053,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01512057,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01512060,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01512061,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01512063,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01512068,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01512070,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01512071,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01512072,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01512077,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01512079,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01512080,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01512081,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01512082,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01512083,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01512090,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01512098,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01512100,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01512109,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01512110,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01512114,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01512114,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01512115,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01512115,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01513001,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01513004,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01513005,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01513010,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01513010,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01513011,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01513012,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01513013,Alviso,[blank],,Unidata missing; GPKG empty
